name,path,macro_count
main.c,main.c,0
xX_main_Xx.h,xX_main_Xx.h,2
debug.h,debug.h,30
misc.h,misc.h,40
cpu.h,emu/cpu.h,8
cpuid.h,emu/cpuid.h,1
tlb.h,emu/tlb.h,6
float80.h,emu/float80.h,3
decode.h,emu/decode.h,8
fpu.h,emu/fpu.h,3
mmu.h,emu/mmu.h,10
interrupt.h,emu/interrupt.h,13
modrm.h,emu/modrm.h,5
float80-test.c,emu/float80-test.c,5
memory.h,emu/memory.h,15
regid.h,emu/regid.h,4
vec.h,emu/vec.h,2
interp.c,emu/interp.c,195
fpu.h,emu/interp/fpu.h,69
unicornomatic.c,tools/unicornomatic.c,2
vdso-transplant.c,tools/vdso-transplant.c,0
transplant.h,tools/transplant.h,0
ptraceomatic-config.h,tools/ptraceomatic-config.h,2
fakefsify.c,tools/fakefsify.c,1
ptutil.h,tools/ptutil.h,0
vdso-transplant-main.c,tools/vdso-transplant-main.c,0
ptraceomatic.c,tools/ptraceomatic.c,2
fakefs.h,tools/fakefs.h,1
vdso-dump.c,tools/vdso-dump.c,0
staticdefine.h,tools/staticdefine.h,6
undefined-flags.h,tools/undefined-flags.h,0
vdso.c,vdso/vdso.c,0
bits.h,util/bits.h,2
refcount.h,util/refcount.h,7
list.h,util/list.h,9
timer.h,util/timer.h,1
sync.h,util/sync.h,8
fifo.h,util/fifo.h,5
linux.c,platform/linux.c,0
platform.h,platform/platform.h,1
darwin.c,platform/darwin.c,0
signal.c,tests/manual/signal.c,0
fibbonaci.c,tests/manual/fibbonaci.c,0
modify.c,tests/manual/modify.c,0
looper.c,tests/manual/looper.c,1
cat.c,tests/manual/cat.c,0
hello.c,tests/manual/hello.c,0
thread.c,tests/manual/thread.c,0
getdents.c,tests/manual/getdents.c,1
stat.c,tests/manual/stat.c,1
forkexec.c,tests/manual/forkexec.c,0
hello-clib.c,tests/manual/hello-clib.c,0
xorps.c,tests/e2e/sse2/xorps.c,1
psllq.c,tests/e2e/sse2/psllq.c,1
paddq.c,tests/e2e/sse2/paddq.c,1
movaps.c,tests/e2e/sse2/movaps.c,1
movss.c,tests/e2e/sse2/movss.c,2
psrlq.c,tests/e2e/sse2/psrlq.c,1
qemu-test-muldiv.h,tests/e2e/qemu/qemu-test-muldiv.h,0
qemu-test.h,tests/e2e/qemu/qemu-test.h,7
qemu-test-shift.h,tests/e2e/qemu/qemu-test-shift.h,8
test_c.c,tests/e2e/hello/test_c.c,0
test_fpu.c,tests/e2e/fpu/test_fpu.c,0
jit.h,jit/jit.h,5
offsets.c,jit/offsets.c,0
frame.h,jit/frame.h,2
gen.h,jit/gen.h,1
gadgets-generic.h,jit/gadgets-generic.h,9
helpers.c,jit/helpers.c,0
gadgets.h,jit/gadgets-aarch64/gadgets.h,0
math.h,jit/gadgets-aarch64/math.h,0
gadgets.h,jit/gadgets-x86_64/gadgets.h,13
main.c,linux/main.c,0
fakefs.c,linux/fakefs.c,2
config.h,deps/config.h,242
mem.h,fs/mem.h,1
sqlutil.h,fs/sqlutil.h,10
adhoc.c,fs/adhoc.c,0
tty-real.c,fs/tty-real.c,1
mount.c,fs/mount.c,4
fake-rebuild.c,fs/fake-rebuild.c,0
lock.c,fs/lock.c,1
tmp.c,fs/tmp.c,0
devices.h,fs/devices.h,17
inode.h,fs/inode.h,4
dir.c,fs/dir.c,0
real.h,fs/real.h,1
dyndev.h,fs/dyndev.h,1
dev.h,fs/dev.h,3
path.h,fs/path.h,5
fd.h,fs/fd.h,6
poll.h,fs/poll.h,9
tty.h,fs/tty.h,54
pty.c,fs/pty.c,1
proc.h,fs/proc.h,2
generic.c,fs/generic.c,0
pipe.c,fs/pipe.c,0
fix_path.h,fs/fix_path.h,1
fake.h,fs/fake.h,1
fake-migrate.c,fs/fake-migrate.c,0
sock.h,fs/sock.h,52
stat.h,fs/stat.h,1
fake-db.h,fs/fake-db.h,1
sockrestart.h,fs/sockrestart.h,1
entry.c,fs/proc/entry.c,0
root.c,fs/proc/root.c,2
ish.h,fs/proc/ish.h,0
pid.c,fs/proc/pid.c,0
uname.c,kernel/uname.c,0
init.h,kernel/init.h,1
vdso.h,kernel/vdso.h,1
getset.c,kernel/getset.c,0
time.h,kernel/time.h,8
eventfd.c,kernel/eventfd.c,0
group.c,kernel/group.c,0
fs_info.c,kernel/fs_info.c,0
signal.h,kernel/signal.h,53
user.c,kernel/user.c,0
calls.h,kernel/calls.h,19
tls.c,kernel/tls.c,0
errno.h,kernel/errno.h,107
fs.h,kernel/fs.h,25
task.h,kernel/task.h,3
mmap.c,kernel/mmap.c,2
poll.c,kernel/poll.c,4
random.h,kernel/random.h,1
personality.h,kernel/personality.h,2
elf.h,kernel/elf.h,46
exec.c,kernel/exec.c,2
epoll.c,kernel/epoll.c,5
exit.c,kernel/exit.c,9
futex.h,kernel/futex.h,1
log.c,kernel/log.c,13
mm.h,kernel/mm.h,1
ipc.c,kernel/ipc.c,0
misc.c,kernel/misc.c,9
resource.h,kernel/resource.h,21
ptrace.h,kernel/ptrace.h,17
fork.c,kernel/fork.c,25
