id,name,value
ddbbd6ed-6d0a-4398-ab21-715b248fc3b3,LEFT_ROTATE,((n << i) | (n >> (64 - i)))
c0c2b8bc-b19c-4e58-a7c6-4b0c9fd7d280,RIGHT_ROTATE,((n >> i) | (n << (64 - i)))
