name,path,macro_count
brotli_decoder.c,research/brotli_decoder.c,4
read_dist.h,research/read_dist.h,2
durchschlag.h,research/durchschlag.h,1
sieve.h,research/sieve.h,1
deorummolae.h,research/deorummolae.h,3
decoder_jni.h,java/org/brotli/wrapper/dec/decoder_jni.h,1
brotli.c,c/tools/brotli.c,21
port.h,c/include/brotli/port.h,73
encode.h,c/include/brotli/encode.h,1
shared_dictionary.h,c/include/brotli/shared_dictionary.h,1
decode.h,c/include/brotli/decode.h,1
types.h,c/include/brotli/types.h,8
hash.h,c/enc/hash.h,1
hash_forgetful_chain_inc.h,c/enc/hash_forgetful_chain_inc.h,4
encode.c,c/enc/encode.c,0
compress_fragment.h,c/enc/compress_fragment.h,1
cluster.h,c/enc/cluster.h,1
ringbuffer.h,c/enc/ringbuffer.h,1
backward_references.h,c/enc/backward_references.h,1
backward_references_inc.h,c/enc/backward_references_inc.h,0
prefix.h,c/enc/prefix.h,1
block_splitter_inc.h,c/enc/block_splitter_inc.h,1
params.h,c/enc/params.h,1
brotli_bit_stream.h,c/enc/brotli_bit_stream.h,1
hash_longest_match64_inc.h,c/enc/hash_longest_match64_inc.h,1
bit_cost_inc.h,c/enc/bit_cost_inc.h,1
backward_references_hq.h,c/enc/backward_references_hq.h,1
compress_fragment_two_pass.h,c/enc/compress_fragment_two_pass.h,1
dictionary_hash.h,c/enc/dictionary_hash.h,1
metablock.h,c/enc/metablock.h,1
encoder_dict.h,c/enc/encoder_dict.h,1
entropy_encode_static.h,c/enc/entropy_encode_static.h,1
literal_cost.h,c/enc/literal_cost.h,1
histogram.h,c/enc/histogram.h,1
state.h,c/enc/state.h,2
hash_composite_inc.h,c/enc/hash_composite_inc.h,3
hash_longest_match_quickly_inc.h,c/enc/hash_longest_match_quickly_inc.h,5
static_dict_lut.h,c/enc/static_dict_lut.h,1
bit_cost.h,c/enc/bit_cost.h,1
write_bits.h,c/enc/write_bits.h,1
metablock_inc.h,c/enc/metablock_inc.h,1
command.h,c/enc/command.h,1
block_splitter.h,c/enc/block_splitter.h,1
quality.h,c/enc/quality.h,17
compound_dictionary.h,c/enc/compound_dictionary.h,1
hash_to_binary_tree_inc.h,c/enc/hash_to_binary_tree_inc.h,2
hash_rolling_inc.h,c/enc/hash_rolling_inc.h,1
memory.h,c/enc/memory.h,1
cluster_inc.h,c/enc/cluster_inc.h,1
static_dict.h,c/enc/static_dict.h,1
entropy_encode.h,c/enc/entropy_encode.h,1
hash_longest_match_inc.h,c/enc/hash_longest_match_inc.h,1
fast_log.h,c/enc/fast_log.h,1
find_match_length.h,c/enc/find_match_length.h,1
block_encoder_inc.h,c/enc/block_encoder_inc.h,1
histogram_inc.h,c/enc/histogram_inc.h,0
utf8_util.h,c/enc/utf8_util.h,1
shared_dictionary.c,c/common/shared_dictionary.c,0
dictionary.h,c/common/dictionary.h,1
transform.h,c/common/transform.h,1
platform.h,c/common/platform.h,90
constants.h,c/common/constants.h,28
shared_dictionary_internal.h,c/common/shared_dictionary_internal.h,1
context.h,c/common/context.h,3
version.h,c/common/version.h,3
huffman.h,c/dec/huffman.h,1
prefix.h,c/dec/prefix.h,1
bit_reader.h,c/dec/bit_reader.h,1
decode.c,c/dec/decode.c,0
state.h,c/dec/state.h,1
run_decode_fuzzer.c,c/fuzz/run_decode_fuzzer.c,0
decode_fuzzer.c,c/fuzz/decode_fuzzer.c,0
