id,name,value
671a53a4-9178-42eb-87d9-cf69e96199ce,DISABLE_LOCAL_CHECK_FUNCTION_BODIES,"""SET LOCAL check_function_bodies TO off;"""
d681f9fa-ebc7-42d4-8e47-4c76ebd08500,RESET_CHECK_FUNCTION_BODIES,"""RESET check_function_bodies;"""
da802e95-1fb0-400a-96c6-e62ea256e9cc,argumentStartsWith,"(strncmp(arg, prefix, strlen(prefix)) == 0)"
