id,name,url,commit_hash,c_files,h_files
30ce12bd-35db-4fdb-9e0c-bd715863f799,db_tutorial,https://github.com/cstack/db_tutorial.git,93278106af213cb1d97a671deacd98451b6fe4f3,1,0
1261f535-bb4a-4a04-ab6d-2ffd4a8a73c2,go-sqlite3,https://github.com/mattn/go-sqlite3.git,7ce62b2ade0b712c46b1ecc6a0ee179dc417816c,3,3
36420299-c53c-4fd3-adfa-e9b2d1ef6a0f,sysbench,https://github.com/akopytov/sysbench.git,df89d34c410a2277e19f77e47e535d0890b2029b,234,192
1b0df1d0-5eee-4f7e-bfb1-b7fbfe418726,MaxScale,https://github.com/mariadb-corporation/MaxScale.git,e7e1c2c37286cbfa9548e8022ee44ab438a10008,294,62
bcfbee43-c75e-45d4-b47f-53655b80db97,wcdb,https://github.com/Tencent/wcdb.git,882c7f0fdb2e5728be836e5f676c82a3a13e5f83,1266,891
cb9c1b40-dff8-4172-a5b0-29f5e1344518,tz,https://github.com/eggert/tz.git,85dbb1ae5bced2e1c9c2e30a6e068596499e6d48,7,2
9842da25-665e-466a-930b-c8f6a029c563,psycopg2,https://github.com/psycopg/psycopg2.git,e8d92b74fd4b219cb4725cb906c526f3f2dce31d,41,37
cbc78e81-3af4-49e9-b09c-05cc597fdfaa,RedisGraph,https://github.com/RedisGraph/RedisGraph.git,4e49c8771d288331ab4eedc91ad8364a4ce279ac,4278,817
70c119e6-d6d4-454e-ae0c-d5f9c6b14483,sqlitestudio,https://github.com/pawelsalawa/sqlitestudio.git,53c7a962e3576bd13f1b194179de121043d24bcf,4,512
44fbd440-23f7-439e-a1e2-43bbc3589144,unqlite,https://github.com/symisc/unqlite.git,9c4cd308e139a21a20247d13af77fde8a2556503,34,5
9323c209-3cfc-470b-927d-4a66aaa6ab57,dqlite,https://github.com/canonical/dqlite.git,690818bbbb9bcb08be58eff94c07a3ca14fe4578,67,59
151c33bf-9795-4115-a58d-9920d1b90d90,yugabyte-db,https://github.com/yugabyte/yugabyte-db.git,8f446576ed9200989f68c9fbf1df352d498c3afa,1483,2256
f9347fff-d11d-4cf1-8502-0133424dd470,mydumper,https://github.com/mydumper/mydumper.git,5d4fef675df2d1fb0935080f21fffe89ddee0581,39,38
050e9d85-f10a-4742-820d-4a85c1568ae9,TBase,https://github.com/Tencent/TBase.git,4887e3a62a4d72ab7b04ad538cfcfb8bbf9cc9c7,1394,953
657f4c29-7f35-4e99-8691-f251d7dc64d8,rediSQL,https://github.com/RedBeardLab/rediSQL.git,26156275a25ae101cd7e6ad3037ead54bd5b5e5e,3,6
81a791c9-b191-435b-82a9-39b22cecf346,pg_repack,https://github.com/reorg/pg_repack.git,f889f6a9d4fefdeec704cccc10bc6507255fa2a4,5,4
